Trial,Result,Mapping,NumberTries,SuccessRate,MaxLoopLength,MinLoopLength,AverageLoopLength,NumLoops
573,0,"{1: 1, 2: 7, 3: 8, 4: 5, 5: 2, 6: 6, 7: 10, 8: 9, 9: 4, 10: 3}",5,0.3327526132404181,8,1,3.3333333333333335,3
574,1,"{1: 5, 2: 4, 3: 1, 4: 7, 5: 6, 6: 3, 7: 9, 8: 8, 9: 10, 10: 2}",5,0.3339130434782609,5,1,3.3333333333333335,3
575,0,"{1: 10, 2: 4, 3: 9, 4: 1, 5: 7, 6: 2, 7: 6, 8: 8, 9: 3, 10: 5}",5,0.3333333333333333,7,1,3.3333333333333335,3
576,1,"{1: 1, 2: 7, 3: 10, 4: 8, 5: 6, 6: 5, 7: 2, 8: 9, 9: 4, 10: 3}",5,0.3344887348353553,3,1,2.0,5
577,1,"{1: 7, 2: 3, 3: 8, 4: 1, 5: 10, 6: 4, 7: 6, 8: 9, 9: 2, 10: 5}",5,0.3356401384083045,4,2,3.3333333333333335,3
578,0,"{1: 6, 2: 5, 3: 3, 4: 8, 5: 1, 6: 9, 7: 7, 8: 2, 9: 4, 10: 10}",5,0.33506044905008636,7,1,2.5,4
579,0,"{1: 6, 2: 9, 3: 2, 4: 8, 5: 5, 6: 10, 7: 1, 8: 7, 9: 4, 10: 3}",5,0.33448275862068966,9,1,5.0,2
580,0,"{1: 4, 2: 5, 3: 3, 4: 1, 5: 8, 6: 2, 7: 9, 8: 7, 9: 6, 10: 10}",5,0.33390705679862304,6,1,2.5,4
581,0,"{1: 6, 2: 7, 3: 8, 4: 9, 5: 2, 6: 1, 7: 4, 8: 5, 9: 3, 10: 10}",5,0.3333333333333333,7,1,3.3333333333333335,3
582,0,"{1: 9, 2: 6, 3: 3, 4: 4, 5: 7, 6: 2, 7: 1, 8: 10, 9: 8, 10: 5}",5,0.33276157804459694,6,1,2.5,4
583,0,"{1: 5, 2: 4, 3: 3, 4: 10, 5: 9, 6: 8, 7: 6, 8: 2, 9: 1, 10: 7}",5,0.3321917808219178,6,1,3.3333333333333335,3
